Url,Name,Price,Value,Category,SKU,Present,Time Take,Color,Size,Region,Description
https://www.dior.com/en_us/products/couture-R0706RODRS_D908-diorodeo-ring,diorodeo ring,570,USD,women/jewels/rings,R0706RODRS_D908,Нет в наличии,0.679168701171875,White,S M L XL,USA,Diorodeo lion ring in gold-tone finish aged metal and white resin.
https://www.dior.com/en_us/products/couture-COLORQ3_MU1U1_TU-diorcolorquake3-sunglasses,diorcolorquake3 sunglasses,415,USD,women/accessories/sunglasses/diorcolorquake,COLORQ3_MU1U1_TU,Нет в наличии,0.6984658241271973,Pink,None,USA,"A colourful statement from the winter 2018 catwalk show, the DiorColorQuake3 sunglasses create a confident look with attitude. In a pilot shape, they have a pared-down silhouette: a monochrome pink wraparound style combined with fine gold-tone metal temples."
https://www.dior.com/en_us/products/couture-R0721SLECY_D301-sous-les-etoiles-ring,sous les etoiles ring,360,USD,women/jewels/rings,R0721SLECY_D301,Нет в наличии,0.7284839153289795,Gold,S M L XL,USA,Sous les Etoiles ring in gold-tone finish metal and white crystals.
https://www.dior.com/en_us/products/couture-COLORQ1_PJPKU_TU-diorcolorquake1-sunglasses,diorcolorquake1 sunglasses,415,USD,women/accessories/sunglasses/diorcolorquake,COLORQ1_PJPKU_TU,Нет в наличии,0.7282946109771729,Blue,None,USA,"A colourful statement from the winter 2018 catwalk show, the DiorColorQuake1 sunglasses create a confident look with attitude. In an oversized square shape, they have a pared-down silhouette: a monochrome blue wraparound style combined with fine gold-tone metal temples."
https://www.dior.com/en_us/products/couture-COLORQ1_40GHO_TU-diorcolorquake1-sunglasses,diorcolorquake1 sunglasses,415,USD,women/accessories/sunglasses/diorcolorquake,COLORQ1_40GHO_TU,Нет в наличии,0.5868618488311768,Yellow,None,USA,"A colourful statement from the winter 2018 catwalk show, the DiorColorQuake1 sunglasses create a confident look with attitude. In an oversized square shape, they have a pared-down silhouette: a monochrome yellow wraparound style combined with fine gold-tone metal temples."
https://www.dior.com/en_us/products/couture-COLORQ1_FWMVC_TU-diorcolorquake1-sunglasses,diorcolorquake1 sunglasses,415,USD,women/accessories/sunglasses/diorcolorquake,COLORQ1_FWMVC_TU,Нет в наличии,0.5959551334381104,Beige,None,USA,"A colourful statement from the winter 2018 catwalk show, the DiorColorQuake1 sunglasses create a confident look with attitude. In an oversized square shape, they have a pared-down silhouette: a monochrome pinky-beige wraparound style combined with fine gold-tone metal temples."
https://www.dior.com/en_us/products/couture-COLORQ1_DDBSQ_TU-diorcolorquake1-sunglasses,diorcolorquake1 sunglasses,415,USD,women/accessories/sunglasses/diorcolorquake,COLORQ1_DDBSQ_TU,Нет в наличии,0.597916841506958,Gold,None,USA,"A colourful statement from the winter 2018 catwalk show, the DiorColorQuake1 sunglasses create a confident look with attitude. In an oversized square shape, they have a pared-down silhouette: a monochrome pink gold mirrored wraparound style combined with fine gold-tone metal temples."
https://www.dior.com/en_us/products/couture-COLORQ1_MU1U1_TU-diorcolorquake1-sunglasses,diorcolorquake1 sunglasses,415,USD,women/accessories/sunglasses/diorcolorquake,COLORQ1_MU1U1_TU,Нет в наличии,0.5298874378204346,Pink,None,USA,"A colourful statement from the winter 2018 catwalk show, the DiorColorQuake1 sunglasses create a confident look with attitude. In an oversized square shape, they have a pared-down silhouette: a monochrome pink wraparound style combined with fine gold-tone metal temples."
https://www.dior.com/en_us/products/couture-S7016CVQR_M900_TU-j-adior-calfskin-iphone-7-case,j'adior calfskin iphone 7 case,860,USD,women/small leather goods/small accessories/j\'adior,S7016CVQR_M900_TU,В наличии,0.44929003715515137,Black,None,USA,"J'Adior iPhone 7 case in black grained calfskin, J'Adior signature in aged gold-tone metal."
https://www.dior.com/en_us/products/couture-S7023CWSM_M090_TU-j-adior-iphone-x-case-in-silver-tone-metallic-calfskin,j'adior iphone x case in silver-tone metallic calfskin,810,USD,women/small leather goods/small accessories/j\'adior,S7023CWSM_M090_TU,В наличии,0.4829270839691162,Silver,None,USA,"J'Adior iPhone X case in silver-tone metallic mirror calfskin, J'Adior signature in aged gold-tone metal."
